Date;Tanger-Tétouan-Al Hoceïma; Oriental;Fès-Meknès;Rabat-Salé-Kénitra;Béni Mellal-Khénifra;Casablanca-Settat;Marrakech-Safi; Drâa-Tafilalet;Souss-Massa;Guelmim-Oued Noun;Laâyoune-Sakia El Hamra;Dakhla-Oued Ed Dahab;cas confirmés;cas exclus suite à un résultats négative;nombre de mort;nombre guéri;nombre total de mort;nombre total de guéri
12/03/2020;0;0;0;2;1;3;0;0;0;0;0;0;6;91;1;0;1;0
13/03/2020;1;0;0;2;1;3;1;0;0;0;0;0;8;106;0;1;1;1
14/03/2020;1;0;3;9;1;7;2;0;0;0;0;0;18;112;0;0;1;1
15/03/2020;1;0;3;11;2;7;3;0;0;1;0;0;28;122;0;0;1;1
16/03/2020;2;0;3;11;2;7;3;0;0;1;0;0;37;152;0;0;1;1
17/03/2020;3;1;7;12;2;11;5;0;0;1;0;0;44;183;1;0;2;1
18/03/2020;3;1;7;14;2;12;5;0;0;1;0;0;54;263;0;0;2;1
19/03/2020;4;2;10;16;2;14;7;1;0;1;0;0;63;307;0;1;2;2
20/03/2020;7;3;19;20;2;20;8;1;5;1;0;0;79;385;1;0;3;2
21/03/2020;7;4;21;22;2;22;10;1;6;1;0;0;96;441;0;1;3;3
22/03/2020;8;4;24;27;2;25;10;1;6;1;0;0;115;512;1;0;4;3
23/03/2020;9;7;35;32;3;34;15;1;6;1;0;0;143;643;0;2;4;5
24/03/2020;11;7;36;40;4;42;22;1;6;1;0;0;170;685;1;1;5;6
25/03/2020;15;7;50;45;6;59;32;2;8;1;0;0;225;740;1;1;6;7
26/03/2020;16;7;51;50;7;87;43;3;10;1;0;0;275;931;4;1;10;8
27/03/2020;23;12;63;56;7;104;51;5;11;1;0;0;345;1423;13;3;23;11
28/03/2020;25;13;66;71;10;117;70;6;11;1;0;0;402;1574;2;1;25;12
29/03/2020;32;16;87;83;10;133;81;6;14;1;0;0;479;1794;1;1;26;13
30/03/2020;38;22;91;88;17;159;93;8;17;1;0;0;556;2195;7;2;33;15
31/03/2020;39;23;105;105;18;176;107;11;17;1;0;0;617;2462;3;9;36;24
01/04/2020;44;26;110;112;21;181;115;13;17;1;2;0;654;2691;3;5;39;29
02/04/2020;47;35;113;115;23;189;127;20;18;2;2;0;708;2916;5;2;44;31
03/04/2020;56;40;117;130;24;221;113;27;19;1;2;0;791;3119;4;26;48;57
04/04/2020;62;51;128;169;26;247;140;36;19;1;4;0;919;3402;11;9;59;66
05/04/2020;78;55;133;181;28;295;186;41;19;1;4;0;1021;3827;11;10;70;76
06/04/2020;84;62;140;184;30;310;193;44;19;1;4;0;1120;3984;10;5;80;81
07/04/2020;96;71;152;186;33;332;201;46;19;1;4;0;1184;4253;10;12;90;93
08/04/2020;100;80;159;191;37;370;230;53;20;1;4;2;1275;4477;3;4;93;97
09/04/2020;115;86;167;209;41;404;258;67;20;1;4;2;1374;5009;4;12;97;109
12/04/2020;153;108;215;237;48;484;314;72;23;1;4;2;1661;6943;7;31;118;177
13/04/2020;169;123;233;225;48;521;335;78;24;1;4;2;1763;7365;8;26;126;203
16/04/2020;230;140;317;258;56;681;487;80;27;1;4;2;2283;9713;3;20;130;249
17/04/2020;255;143;268;259;58;716;648;82;28;1;4;2;2564;10388;5;32;135;281
18/04/2020;283;148;386;262;58;760;663;83;35;1;4;2;2685;11004;2;33;137;314
19/04/2020;312;149;418;273;60;782;724;86;44;1;4;2;2855;12268;4;13;141;327
20/04/2020;383;155;448;280;61;840;739;86;47;1;4;2;3024;13340;2;23;143;350
21/04/2020;426;157;480;281;62;855;739;155;47;1;4;2;3209;14891;2;43;145;393
22/04/2020;461;164;490;282;63;917;742;273;47;1;4;2;3446;16439;4;24;149;417
23/04/2020;491;165;494;286;78;942;772;284;50;1;4;2;3568;18379;6;39;155;456
24/04/2020;492;175;499;297;78;982;802;371;50;6;4;2;3758;20175;3;30;158;486
25/04/2020;502;175;503;299;78;1041;818;403;50;22;4;2;3897;21546;1;51;159;537
26/04/2020;529;175;515;304;78;1086;824;493;50;23;4;2;4065;23334;2;56;161;593
27/04/2020;544;175;520;306;78;1075;843;494;50;29;4;2;4120;25134;1;102;162;695
28/04/2020;544;175;534;309;80;1086;917;522;50;29;4;2;4252;26998;3;83;165;778
29/04/2020;565;175;539;314;80;1100;928;535;50;29;4;2;4321;28609;3;150;168;928
30/04/2020;597;175;551;314;80;1120;957;543;51;29;4;2;4423;30418;2;56;170;984
01/05/2020;619;175;573;326;83;1157;1004;573;51;29;4;2;4569;32437;1;99;171;1083
02/05/2020;657;175;584;329;83;1203;1059;546;51;36;4;2;4729;34638;2;173;173;1256
03/05/2020;704;175;619;342;84;1265;1070;548;51;39;4;2;4903;37209;1;182;174;1438
04/05/2020;730;175;662;375;85;1306;1076;548;51;39;4;2;5053;40249;5;215;179;1653
05/05/2020;740;175;665;453;85;1362;1091;551;52;39;4;2;5219;44351;2;185;181;1838
